Year,Country,Fertility Rate,Rank
1960,Pakistan,6.6,13
1970,Pakistan,6.6,10
1980,Pakistan,6.6,9
1990,Pakistan,6.3,8
2000,Pakistan,5,7
2010,Pakistan,3.65,6
2020,Pakistan,2.47,7
2030,Pakistan,2.46,6
2040,Pakistan,2.18,6
2050,Pakistan,1.99,6
1960,Russia,2.82,4
1970,Russia,2.02,4
1980,Russia,1.94,5
1990,Russia,2.12,6
2000,Russia,1.25,6
2010,Russia,1.44,9
2020,Russia,1.6,9
2030,Russia,1.7,11
2040,Russia,1.77,13
2050,Russia,1.81,15
1960,Nigeria,6.35,14
1970,Nigeria,6.35,11
1980,Nigeria,6.76,11
1990,Nigeria,6.6,10
2000,Nigeria,6.17,10
2010,Nigeria,6.01,7
2020,Nigeria,5.73,6
2030,Nigeria,5.1,5
2040,Nigeria,4.42,4
2050,Nigeria,3.79,3
1960,Japan,2.16,5
1970,Japan,2.02,6
1980,Japan,1.83,7
1990,Japan,1.66,7
2000,Japan,1.37,9
2010,Japan,1.34,10
2020,Japan,1.48,11
2030,Japan,1.58,13
2040,Japan,1.66,14
2050,Japan,1.72,16
1960,Ethopia,6.9,25
1970,Ethopia,6.87,26
1980,Ethopia,7.18,26
1990,Ethopia,7.37,23
2000,Ethopia,6.83,16
2010,Ethopia,5.26,14
2020,Ethopia,4.01,12
2030,Ethopia,3.14,10
2040,Ethopia,2.63,9
2050,Ethopia,2.3,9
1960,Germany,2.29,7
1970,Germany,2.36,8
1980,Germany,1.51,10
1990,Germany,1.43,12
2000,Germany,1.35,12
2010,Germany,1.36,15
2020,Germany,1.46,17
2030,Germany,1.54,19
2040,Germany,1.59,22
2050,Germany,1.64,25
1960,UK,2.49,9
1970,UK,2.57,12
1980,UK,1.73,13
1990,UK,1.84,15
2000,UK,1.74,21
2010,UK,1.88,22
2020,UK,1.89,22
2030,UK,1.89,22
2040,UK,1.9,24
2050,UK,1.9,24
1960,Philippines,7.27,23
1970,Philippines,6.54,20
1980,Philippines,5.46,18
1990,Philippines,4.53,14
2000,Philippines,3.9,14
2010,Philippines,3.27,12
2020,Philippines,2.89,13
2030,Philippines,2.61,12
2040,Philippines,2.38,11
2050,Philippines,2.2,10
